Country,City,State-Region,Period,Notes,Story-Link
USA,Ft Worth,Texas,1958-1959,,
Japan,Tokyo,,1959-1960,,
Japan,Matsue,Shimane Pref.,1960-1964,,
USA,Middlesboro,Kentucky,1964-1965,,
Japan,Itami,Hyogo Pref.,1965-1970,,
USA,Muskogee,Oklahoma,1970-1971,,
Japan,Itami,Hyogo Pref.,1971-1975,,
USA,Knoxville,Tennessee,1975-1979,,
USA,Monterey,California,1979-1980,USN,
USA,Fort Meade,Maryland,1980-1983,USN,
Japan,NAF Atsugi,Kanagawa Pref.,1983-1986,USN,
USA,Severn,Maryland,1987-1994,USN->civillian,
USA,Manassas,Virginia,1994+,,
